Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.58     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::deallocate(std::allocator<unsigned long>&, unsigned long*, unsigned long)
  0.00      0.58     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::allocate(std::allocator<unsigned long>&, unsigned long)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.58     0.00       14     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long)
  0.00      0.58     0.00       14     0.00     0.00  std::vector<bool, std::allocator<bool> >::~vector()
  0.00      0.58     0.00       14     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::~vector()
  0.00      0.58     0.00       14     0.00     0.00  std::vector<bool, std::allocator<bool> >* std::__addressof<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >&)
  0.00      0.58     0.00       14     0.00     0.00  bool const* std::__miter_base<bool const*>(bool const*)
  0.00      0.58     0.00       14     0.00     0.00  unsigned long* std::__miter_base<unsigned long*>(unsigned long*)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bit_const_iterator std::__miter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      0.58     0.00       14     0.00     0.00  bool const* std::__niter_base<bool const*>(bool const*)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bit_iterator std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bit_const_iterator std::__niter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      0.58     0.00       14     0.00     0.00  std::_Bit_iterator std::__niter_wrap<std::_Bit_iterator>(std::_Bit_iterator const&, std::_Bit_iterator)
  0.00      0.58     0.00       14     0.00     0.00  std::remove_reference<std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl&>(std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl&)
  0.00      0.58     0.00       14     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >&& std::forward<std::vector<unsigned int, std::allocator<unsigned int> > >(std::remove_reference<std::vector<unsigned int, std::allocator<unsigned int> > >::type&)
  0.00      0.58     0.00       14     0.00     0.00  void std::_Destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.58     0.00       14     0.00     0.00  void std::_Destroy<unsigned int*, unsigned int>(unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.58     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::vector<unsigned int, std::allocator<unsigned int> > >::max_size() const
  0.00      0.58     0.00        9     0.00     0.00  std::_Vector_base<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_M_get_Tp_allocator()
  0.00      0.58     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > > >::__normal_iterator(std::vector<unsigned int, std::allocator<unsigned int> >* const&)
  0.00      0.58     0.00        8     0.00     0.00  std::_Vector_base<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_M_get_Tp_allocator() const
  0.00      0.58     0.00        8     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::max_size() const
  0.00      0.58     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::max_size(std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.58     0.00        8     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_S_max_size(std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.58     0.00        8     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_S_relocate(std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > >&)
  0.00      0.58     0.00        8     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_S_do_relocate(std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > >&, std::integral_constant<bool, true>)
  0.00      0.58     0.00        8     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_S_use_relocate()
  0.00      0.58     0.00        8     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.58     0.00        8     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >* std::__relocate_a<std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >(std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > >&)
  0.00      0.58     0.00        8     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >* std::__relocate_a_1<std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >(std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >*, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > >&)
  0.00      0.58     0.00        7     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<unsigned int, std::allocator<unsigned int> > >::destroy<std::vector<unsigned int, std::allocator<unsigned int> > >(std::vector<unsigned int, std::allocator<unsigned int> >*)
  0.00      0.58     0.00        7     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<unsigned int, std::allocator<unsigned int> > >::construct<std::vector<unsigned int, std::allocator<unsigned int> >>(std::vector<unsigned int, std::allocator<unsigned int> >*)
  0.00      0.58     0.00        7     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<unsigned int, std::allocator<unsigned int> > >::construct<std::vector<unsigned int, std::allocator<unsigned int> >, std::vector<unsigned int, std::allocator<unsigned int> > >(std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<unsigned int, std::allocator<unsigned int> >&&)
  0.00      0.58     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator(__gnu_cxx::new_allocator<unsigned int> const&)
  0.00      0.58     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
